Distance,Stroke,AgeGroupMin,AgeGroupMax,Gender,SCM_Time,LCM_Time,Level
50,free,6,10,F,00:35.8,00:36.6,Festivals
50,free,11,11,F,00:33.0,00:33.6,Festivals
50,free,12,12,F,00:31.0,00:31.6,Festivals
100,free,6,10,F,01:21.5,01:23.1,Festivals
100,free,11,11,F,01:14.1,01:15.6,Festivals
100,free,12,12,F,01:08.4,01:09.6,Festivals
200,free,11,11,F,02:45.1,02:48.4,Festivals
200,free,12,12,F,02:31.4,02:34.6,Festivals
400,free,11,11,F,05:58.5,06:05.7,Festivals
400,free,12,12,F,05:27.8,05:34.4,Festivals
50,back,6,10,F,00:41.6,00:42.4,Festivals
50,back,11,11,F,00:38.4,00:39.2,Festivals
50,back,12,12,F,00:36.1,00:36.8,Festivals
100,back,6,10,F,01:32.3,01:34.1,Festivals
100,back,11,11,F,01:23.9,01:25.6,Festivals
100,back,12,12,F,01:18.1,01:19.7,Festivals
200,back,11,11,F,03:04.2,03:07.9,Festivals
200,back,12,12,F,02:50.0,02:53.4,Festivals
50,breast,6,10,F,00:48.0,00:48.9,Festivals
50,breast,11,11,F,00:44.3,00:45.2,Festivals
50,breast,12,12,F,00:41.3,00:42.1,Festivals
100,breast,6,10,F,01:45.9,01:48.0,Festivals
100,breast,11,11,F,01:36.7,01:38.6,Festivals
100,breast,12,12,F,01:30.0,01:31.8,Festivals
200,breast,11,11,F,03:31.2,03:35.5,Festivals
200,breast,12,12,F,03:16.1,03:20.0,Festivals
50,fly,6,10,F,00:42.5,00:43.3,Festivals
50,fly,11,11,F,00:37.7,00:38.4,Festivals
50,fly,12,12,F,00:34.8,00:35.5,Festivals
100,fly,6,10,F,01:47.3,01:49.5,Festivals
100,fly,11,11,F,01:32.2,01:34.1,Festivals
100,fly,12,12,F,01:22.6,01:24.2,Festivals
200,fly,11,11,F,03:22.3,03:26.4,Festivals
200,fly,12,12,F,03:02.7,03:06.4,Festivals
100,im,6,10,F,01:34.7,,Festivals
100,im,11,11,F,01:27.6,,Festivals
100,im,12,12,F,01:21.9,,Festivals
200,im,11,11,F,03:05.6,03:09.4,Festivals
200,im,12,12,F,02:51.9,02:55.3,Festivals
50,free,6,10,M,00:37.1,00:37.9,Festivals
50,free,11,11,M,00:33.7,00:34.4,Festivals
50,free,12,12,M,00:31.6,00:32.3,Festivals
100,free,6,10,M,01:25.3,01:27.0,Festivals
100,free,11,11,M,01:17.0,01:18.5,Festivals
100,free,12,12,M,01:10.7,01:12.1,Festivals
200,free,11,11,M,02:52.9,02:37.1,Festivals
200,free,12,12,M,02:56.3,02:40.3,Festivals
400,free,11,11,M,06:28.5,06:36.3,Festivals
400,free,12,12,M,05:48.8,05:55.8,Festivals
50,back,6,10,M,00:43.3,00:44.2,Festivals
50,back,11,11,M,00:39.9,00:40.7,Festivals
50,back,12,12,M,00:37.2,00:38.0,Festivals
100,back,6,10,M,01:37.2,01:39.1,Festivals
100,back,11,11,M,01:28.3,01:30.1,Festivals
100,back,12,12,M,01:21.7,01:23.4,Festivals
200,back,11,11,M,03:18.0,03:22.0,Festivals
200,back,12,12,M,02:59.6,03:03.2,Festivals
50,breast,6,10,M,00:51.1,00:52.2,Festivals
50,breast,11,11,M,00:46.5,00:47.4,Festivals
50,breast,12,12,M,00:42.1,00:42.9,Festivals
100,breast,6,10,M,01:52.5,01:54.7,Festivals
100,breast,11,11,M,01:42.4,01:44.5,Festivals
100,breast,12,12,M,01:33.1,01:34.9,Festivals
200,breast,11,11,M,03:58.7,03:29.2,Festivals
200,breast,12,12,M,04:03.5,03:33.4,Festivals
50,fly,6,10,M,00:44.3,00:45.2,Festivals
50,fly,11,11,M,00:39.8,00:40.6,Festivals
50,fly,12,12,M,00:36.4,00:37.2,Festivals
100,fly,6,10,M,01:59.0,02:01.3,Festivals
100,fly,11,11,M,01:39.8,01:41.8,Festivals
100,fly,12,12,M,01:29.9,01:31.7,Festivals
200,fly,11,11,M,03:43.2,03:47.6,Festivals
200,fly,12,12,M,03:21.1,03:25.2,Festivals
100,im,6,10,M,01:38.8,,Festivals
100,im,11,11,M,01:30.5,,Festivals
100,im,12,12,M,01:26.5,,Festivals
200,im,11,11,M,03:15.9,03:19.8,Festivals
200,im,12,12,M,03:00.5,03:04.1,Festivals
